OrderNumber,OrderDate,ProductId,StoreId,CustomerId,Channel,Quantity,UnitPrice,DiscountAmount
SO-100046,2026-03-07,P-0007,S-012,C-00158,Online,5,283.31,0.0
SO-100047,2026-03-18,P-0023,S-001,C-00498,Store,1,109.7,10.56
SO-100047,2026-03-18,P-0009,S-001,C-00498,Store,5,269.72,0.0
SO-100048,2026-03-06,P-0017,S-012,C-00044,Store,2,274.28,0.0
SO-100049,2026-03-11,P-0022,S-010,C-00032,Store,3,391.3,0.0
SO-100049,2026-03-11,P-0005,S-010,C-00032,Store,4,146.8,0.0
SO-100049,2026-03-11,P-0008,S-010,C-00032,Store,3,155.15,0.0
SO-100049,2026-03-11,P-0010,S-010,C-00032,Store,3,69.54,49.8
SO-100050,2026-01-04,P-0004,S-010,C-00056,Online,4,114.76,0.0
SO-100050,2026-01-04,P-0006,S-010,C-00056,Online,4,389.38,189.48
SO-100051,2026-01-23,P-0003,S-008,C-00136,Store,2,92.07,0.0
SO-100052,2026-02-16,P-0007,S-012,C-00309,Online,3,283.31,163.38
SO-100053,2026-03-02,P-0009,S-001,C-00347,Store,1,269.72,0.0
SO-100053,2026-03-02,P-0027,S-001,C-00347,Store,4,32.99,0.0
SO-100053,2026-03-02,P-0006,S-001,C-00347,Store,5,389.38,277.26
SO-100054,2026-01-05,P-0005,S-001,C-00426,Store,4,146.8,0.0
SO-100054,2026-01-05,P-0007,S-001,C-00426,Store,1,283.31,0.0
SO-100055,2026-02-05,P-0007,S-002,C-00012,Online,4,283.31,0.0
SO-100056,2025-12-24,P-0015,S-006,C-00063,Online,1,252.84,41.66
SO-100057,2026-03-12,P-0006,S-007,C-00350,Store,2,389.38,108.41
SO-100057,2026-03-12,P-0012,S-007,C-00350,Store,2,88.99,30.94
SO-100057,2026-03-12,P-0007,S-007,C-00350,Store,2,283.31,0.0
SO-100057,2026-03-12,P-0030,S-007,C-00350,Store,4,28.94,0.0
SO-100058,2026-04-20,P-0005,S-002,C-00144,Store,5,146.8,182.63
SO-100058,2026-04-20,P-0014,S-002,C-00144,Store,5,398.94,0.0
SO-100058,2026-04-20,P-0007,S-002,C-00144,Store,4,283.31,0.0
SO-100058,2026-04-20,P-0021,S-002,C-00144,Store,3,100.14,0.0
SO-100059,2026-04-04,P-0013,S-010,C-00258,Store,1,299.27,0.0
SO-100059,2026-04-04,P-0009,S-010,C-00258,Store,2,269.72,114.44
SO-100059,2026-04-04,P-0006,S-010,C-00258,Store,3,389.38,290.06
SO-100060,2026-04-15,P-0004,S-010,C-00120,Store,2,114.76,48.95
SO-100060,2026-04-15,P-0008,S-010,C-00120,Store,1,155.15,0.0
SO-100061,2026-01-26,P-0006,S-007,C-00182,Store,5,389.38,0.0
SO-100061,2026-01-26,P-0008,S-007,C-00182,Store,3,155.15,0.0
SO-100062,2025-12-08,P-0019,S-006,C-00486,Online,4,348.85,0.0
SO-100062,2025-12-08,P-0007,S-006,C-00486,Online,2,283.31,0.0
SO-100063,2025-12-24,P-0017,S-010,C-00113,Store,4,274.28,256.26
SO-100064,2026-01-21,P-0030,S-006,C-00368,Online,3,28.94,6.91
SO-100064,2026-01-21,P-0026,S-006,C-00368,Online,2,7.84,0.0
SO-100065,2026-04-14,P-0019,S-002,C-00192,Online,3,348.85,85.29
SO-100065,2026-04-14,P-0004,S-002,C-00192,Online,4,114.76,0.0
SO-100065,2026-04-14,P-0011,S-002,C-00192,Online,4,329.61,0.0
SO-100065,2026-04-14,P-0010,S-002,C-00192,Online,2,69.54,0.0
SO-100066,2026-04-23,P-0008,S-010,C-00403,Online,2,155.15,0.0
SO-100066,2026-04-23,P-0022,S-010,C-00403,Online,3,391.3,229.81
SO-100066,2026-04-23,P-0019,S-010,C-00403,Online,5,348.85,0.0
SO-100067,2026-04-25,P-0021,S-010,C-00163,Store,1,100.14,0.0
SO-100067,2026-04-25,P-0019,S-010,C-00163,Store,2,348.85,0.0
SO-100068,2025-12-20,P-0027,S-006,C-00086,Store,3,32.99,0.0
SO-100069,2026-02-06,P-0009,S-012,C-00035,Store,1,269.72,37.13
SO-100069,2026-02-06,P-0026,S-012,C-00035,Store,4,7.84,0.0
SO-100069,2026-02-06,P-0004,S-012,C-00035,Store,4,114.76,0.0
SO-100070,2026-03-07,P-0026,S-007,C-00052,Store,2,7.84,1.02
SO-100070,2026-03-07,P-0028,S-007,C-00052,Store,1,100.98,11.49
SO-100070,2026-03-07,P-0019,S-007,C-00052,Store,1,348.85,29.31
SO-100070,2026-03-07,P-0021,S-007,C-00052,Store,4,100.14,26.04
SO-100071,2025-12-24,P-0023,S-010,C-00458,Store,2,109.7,0.0
SO-100071,2025-12-24,P-0001,S-010,C-00458,Store,4,93.17,26.18
SO-100071,2025-12-24,P-0014,S-010,C-00458,Store,2,398.94,0.0
SO-100071,2025-12-24,P-0021,S-010,C-00458,Store,4,100.14,0.0
SO-100072,2026-04-18,P-0004,S-005,C-00153,Store,4,114.76,0.0
SO-100072,2026-04-18,P-0002,S-005,C-00153,Store,4,42.01,20.53
SO-100073,2026-03-20,P-0007,S-011,C-00321,Store,3,283.31,0.0
SO-100073,2026-03-20,P-0004,S-011,C-00321,Store,4,114.76,0.0
SO-100073,2026-03-20,P-0001,S-011,C-00321,Store,3,93.17,0.0
SO-100073,2026-03-20,P-0006,S-011,C-00321,Store,4,389.38,0.0
SO-100074,2026-05-19,P-0006,S-011,C-00279,Store,3,389.38,68.83
SO-100074,2026-05-19,P-0012,S-011,C-00279,Store,4,88.99,0.0
SO-100074,2026-05-19,P-0029,S-011,C-00279,Store,2,144.95,0.0
SO-100074,2026-05-19,P-0013,S-011,C-00279,Store,5,299.27,299.94
SO-100075,2026-05-20,P-0025,S-011,C-00177,Store,1,102.92,0.0
SO-100075,2026-05-20,P-0019,S-011,C-00177,Store,5,348.85,0.0
SO-100075,2026-05-20,P-0008,S-011,C-00177,Store,5,155.15,0.0
SO-100075,2026-05-20,P-0018,S-011,C-00177,Store,4,176.73,0.0
SO-100076,2026-01-30,P-0017,S-002,C-00203,Store,5,274.28,0.0
SO-100077,2026-04-26,P-0025,S-010,C-00076,Online,4,102.92,101.63
SO-100078,2026-01-24,P-0003,S-003,C-00022,Online,2,92.07,0.0
SO-100078,2026-01-24,P-0022,S-003,C-00022,Online,3,391.3,0.0
SO-100078,2026-01-24,P-0014,S-003,C-00022,Online,1,398.94,64.34
SO-100078,2026-01-24,P-0007,S-003,C-00022,Online,5,283.31,0.0
SO-100079,2026-02-09,P-0004,S-001,C-00403,Store,5,114.76,0.0
SO-100079,2026-02-09,P-0014,S-001,C-00403,Store,1,398.94,0.0
SO-100079,2026-02-09,P-0005,S-001,C-00403,Store,5,146.8,0.0
SO-100079,2026-02-09,P-0019,S-001,C-00403,Store,3,348.85,0.0
SO-100080,2026-02-27,P-0019,S-005,C-00197,Online,2,348.85,54.96
SO-100080,2026-02-27,P-0020,S-005,C-00197,Online,5,241.58,0.0
SO-100080,2026-02-27,P-0016,S-005,C-00197,Online,4,240.38,219.14
SO-100080,2026-02-27,P-0002,S-005,C-00197,Online,3,42.01,0.0
SO-100081,2025-12-13,P-0001,S-005,C-00460,Online,3,93.17,0.0
SO-100081,2025-12-13,P-0011,S-005,C-00460,Online,4,329.61,0.0
SO-100081,2025-12-13,P-0027,S-005,C-00460,Online,1,32.99,0.0
SO-100082,2026-01-28,P-0009,S-012,C-00227,Store,5,269.72,0.0
SO-100082,2026-01-28,P-0024,S-012,C-00227,Store,2,286.61,0.0
SO-100082,2026-01-28,P-0014,S-012,C-00227,Store,4,398.94,0.0
SO-100083,2026-04-12,P-0003,S-001,C-00264,Online,5,92.07,0.0
SO-100083,2026-04-12,P-0010,S-001,C-00264,Online,5,69.54,0.0
SO-100084,2025-12-08,P-0008,S-004,C-00429,Store,1,155.15,0.0
SO-100085,2026-03-03,P-0017,S-005,C-00189,Online,1,274.28,0.0
SO-100085,2026-03-03,P-0013,S-005,C-00189,Online,2,299.27,0.0
SO-100085,2026-03-03,P-0021,S-005,C-00189,Online,5,100.14,0.0
SO-100085,2026-03-03,P-0030,S-005,C-00189,Online,4,28.94,0.0
SO-100086,2026-02-28,P-0010,S-005,C-00384,Store,1,69.54,0.0
SO-100087,2026-01-11,P-0021,S-004,C-00439,Online,2,100.14,26.42
SO-100087,2026-01-11,P-0008,S-004,C-00439,Online,1,155.15,0.0
SO-100088,2026-05-24,P-0020,S-003,C-00332,Store,1,241.58,41.47
SO-100088,2026-05-24,P-0026,S-003,C-00332,Store,3,7.84,0.0
SO-100089,2026-05-31,P-0028,S-007,C-00459,Online,2,100.98,0.0
SO-100089,2026-05-31,P-0012,S-007,C-00459,Online,5,88.99,0.0
SO-100089,2026-05-31,P-0015,S-007,C-00459,Online,4,252.84,0.0
SO-100089,2026-05-31,P-0009,S-007,C-00459,Online,1,269.72,0.0
SO-100090,2026-05-19,P-0010,S-006,C-00288,Online,4,69.54,68.89
SO-100090,2026-05-19,P-0022,S-006,C-00288,Online,3,391.3,0.0
SO-100090,2026-05-19,P-0004,S-006,C-00288,Online,3,114.76,0.0
SO-100091,2026-05-16,P-0029,S-003,C-00265,Store,5,144.95,0.0
SO-100091,2026-05-16,P-0002,S-003,C-00265,Store,3,42.01,0.0
SO-100092,2025-12-07,P-0013,S-005,C-00133,Online,5,299.27,0.0
SO-100092,2025-12-07,P-0024,S-005,C-00133,Online,3,286.61,0.0
SO-100092,2025-12-07,P-0002,S-005,C-00133,Online,2,42.01,0.0
SO-100092,2025-12-07,P-0019,S-005,C-00133,Online,4,348.85,0.0
SO-100093,2026-05-21,P-0027,S-005,C-00433,Store,5,32.99,11.47
SO-100093,2026-05-21,P-0022,S-005,C-00433,Store,2,391.3,0.0
SO-100094,2026-04-23,P-0021,S-003,C-00485,Online,3,100.14,67.38
SO-100094,2026-04-23,P-0003,S-003,C-00485,Online,4,92.07,0.0
SO-100094,2026-04-23,P-0008,S-003,C-00485,Online,3,155.15,0.0
SO-100095,2026-04-29,P-0028,S-002,C-00241,Store,5,100.98,0.0
SO-100096,2026-05-08,P-0028,S-004,C-00257,Store,4,100.98,0.0
SO-100097,2026-03-16,P-0011,S-003,C-00071,Store,5,329.61,0.0
SO-100097,2026-03-16,P-0014,S-003,C-00071,Store,4,398.94,355.02
SO-100098,2026-01-16,P-0011,S-008,C-00171,Online,1,329.61,34.51
SO-100098,2026-01-16,P-0021,S-008,C-00171,Online,2,100.14,0.0
SO-100099,2026-01-10,P-0021,S-002,C-00067,Store,4,100.14,62.79
SO-100099,2026-01-10,P-0014,S-002,C-00067,Store,3,398.94,0.0
SO-100099,2026-01-10,P-0013,S-002,C-00067,Store,3,299.27,0.0
SO-100099,2026-01-10,P-0016,S-002,C-00067,Store,5,240.38,222.77
SO-100100,2026-05-10,P-0010,S-004,C-00356,Online,4,69.54,0.0
SO-100100,2026-05-10,P-0005,S-004,C-00356,Online,3,146.8,94.58
SO-100100,2026-05-10,P-0004,S-004,C-00356,Online,3,114.76,0.0
SO-100101,2026-03-27,P-0014,S-010,C-00269,Online,2,398.94,0.0
SO-100101,2026-03-27,P-0029,S-010,C-00269,Online,4,144.95,0.0
SO-100101,2026-03-27,P-0022,S-010,C-00269,Online,2,391.3,181.08
SO-100102,2026-03-14,P-0007,S-004,C-00373,Store,1,283.31,0.0
SO-100102,2026-03-14,P-0024,S-004,C-00373,Store,2,286.61,110.19
SO-100103,2025-12-10,P-0020,S-011,C-00131,Store,1,241.58,0.0
SO-100104,2026-05-17,P-0014,S-001,C-00354,Online,4,398.94,0.0
SO-100105,2026-04-20,P-0023,S-012,C-00079,Store,1,109.7,0.0
SO-100105,2026-04-20,P-0022,S-012,C-00079,Store,1,391.3,0.0
SO-100106,2026-02-08,P-0027,S-012,C-00071,Online,5,32.99,12.01
SO-100106,2026-02-08,P-0029,S-012,C-00071,Online,1,144.95,0.0
SO-100106,2026-02-08,P-0004,S-012,C-00071,Online,5,114.76,58.87
SO-100106,2026-02-08,P-0017,S-012,C-00071,Online,5,274.28,0.0
SO-100107,2026-03-02,P-0018,S-005,C-00083,Online,4,176.73,0.0
SO-100108,2026-05-26,P-0001,S-006,C-00121,Online,1,93.17,0.0
SO-100109,2026-04-26,P-0025,S-003,C-00487,Online,5,102.92,100.2
SO-100110,2026-02-04,P-0015,S-008,C-00152,Online,2,252.84,0.0
SO-100110,2026-02-04,P-0002,S-008,C-00152,Online,3,42.01,0.0
SO-100110,2026-02-04,P-0004,S-008,C-00152,Online,3,114.76,0.0
SO-100111,2025-12-30,P-0022,S-001,C-00005,Store,2,391.3,0.0
SO-100111,2025-12-30,P-0021,S-001,C-00005,Store,4,100.14,0.0
SO-100112,2026-02-07,P-0006,S-002,C-00191,Online,4,389.38,0.0
SO-100112,2026-02-07,P-0004,S-002,C-00191,Online,3,114.76,0.0
SO-100112,2026-02-07,P-0013,S-002,C-00191,Online,4,299.27,0.0
SO-100113,2026-05-16,P-0023,S-003,C-00058,Online,1,109.7,0.0
SO-100113,2026-05-16,P-0024,S-003,C-00058,Online,2,286.61,133.13
SO-100114,2026-04-03,P-0020,S-011,C-00225,Online,3,241.58,0.0
SO-100114,2026-04-03,P-0013,S-011,C-00225,Online,2,299.27,0.0
SO-100115,2026-04-04,P-0003,S-007,C-00226,Store,3,92.07,0.0
SO-100116,2025-12-04,P-0022,S-011,C-00269,Online,3,391.3,0.0
SO-100116,2025-12-04,P-0028,S-011,C-00269,Online,5,100.98,92.06
SO-100117,2026-02-02,P-0005,S-011,C-00347,Store,5,146.8,131.15
SO-100117,2026-02-02,P-0027,S-011,C-00347,Store,2,32.99,0.0
SO-100117,2026-02-02,P-0018,S-011,C-00347,Store,4,176.73,0.0
SO-100117,2026-02-02,P-0029,S-011,C-00347,Store,2,144.95,43.0
SO-100118,2026-01-31,P-0018,S-005,C-00026,Store,4,176.73,0.0
SO-100118,2026-01-31,P-0021,S-005,C-00026,Store,2,100.14,27.81
SO-100119,2026-04-26,P-0004,S-008,C-00229,Store,1,114.76,15.2
SO-100119,2026-04-26,P-0016,S-008,C-00229,Store,5,240.38,0.0
SO-100119,2026-04-26,P-0024,S-008,C-00229,Store,1,286.61,0.0
SO-100120,2026-05-08,P-0021,S-009,C-00288,Online,4,100.14,0.0
SO-100120,2026-05-08,P-0022,S-009,C-00288,Online,3,391.3,0.0
SO-100121,2026-01-27,P-0023,S-006,C-00287,Online,1,109.7,19.94
SO-100121,2026-01-27,P-0022,S-006,C-00287,Online,1,391.3,0.0
SO-100121,2026-01-27,P-0012,S-006,C-00287,Online,3,88.99,0.0
SO-100121,2026-01-27,P-0015,S-006,C-00287,Online,3,252.84,0.0
SO-100122,2025-12-12,P-0004,S-008,C-00072,Online,2,114.76,50.6
SO-100122,2025-12-12,P-0009,S-008,C-00072,Online,2,269.72,0.0
SO-100122,2025-12-12,P-0020,S-008,C-00072,Online,2,241.58,0.0
SO-100122,2025-12-12,P-0007,S-008,C-00072,Online,1,283.31,0.0
SO-100123,2025-12-12,P-0025,S-011,C-00302,Online,4,102.92,0.0
SO-100124,2026-04-30,P-0001,S-003,C-00494,Online,5,93.17,0.0
SO-100124,2026-04-30,P-0017,S-003,C-00494,Online,5,274.28,0.0
SO-100124,2026-04-30,P-0024,S-003,C-00494,Online,5,286.61,0.0
SO-100124,2026-04-30,P-0002,S-003,C-00494,Online,2,42.01,0.0
SO-100125,2026-01-14,P-0022,S-003,C-00054,Online,5,391.3,0.0
SO-100125,2026-01-14,P-0020,S-003,C-00054,Online,4,241.58,0.0
SO-100125,2026-01-14,P-0029,S-003,C-00054,Online,2,144.95,70.36
SO-100125,2026-01-14,P-0011,S-003,C-00054,Online,3,329.61,0.0
SO-100126,2026-01-04,P-0027,S-010,C-00359,Store,3,32.99,0.0
SO-100126,2026-01-04,P-0023,S-010,C-00359,Store,5,109.7,0.0
SO-100126,2026-01-04,P-0018,S-010,C-00359,Store,2,176.73,68.17
SO-100127,2026-05-25,P-0017,S-011,C-00068,Store,3,274.28,0.0
SO-100127,2026-05-25,P-0018,S-011,C-00068,Store,3,176.73,0.0
SO-100128,2026-04-29,P-0022,S-011,C-00364,Store,5,391.3,429.37
SO-100128,2026-04-29,P-0024,S-011,C-00364,Store,1,286.61,0.0
SO-100128,2026-04-29,P-0029,S-011,C-00364,Store,1,144.95,0.0
SO-100128,2026-04-29,P-0027,S-011,C-00364,Store,1,32.99,0.0
SO-100129,2026-01-21,P-0005,S-003,C-00147,Store,3,146.8,69.69
SO-100129,2026-01-21,P-0027,S-003,C-00147,Store,3,32.99,0.0
SO-100129,2026-01-21,P-0002,S-003,C-00147,Store,1,42.01,0.0
SO-100130,2026-05-22,P-0008,S-004,C-00381,Online,3,155.15,0.0
SO-100130,2026-05-22,P-0017,S-004,C-00381,Online,1,274.28,0.0
SO-100130,2026-05-22,P-0026,S-004,C-00381,Online,4,7.84,0.0
SO-100130,2026-05-22,P-0023,S-004,C-00381,Online,3,109.7,0.0
SO-100131,2025-12-14,P-0027,S-005,C-00104,Store,3,32.99,0.0
SO-100131,2025-12-14,P-0008,S-005,C-00104,Store,5,155.15,0.0
SO-100131,2025-12-14,P-0030,S-005,C-00104,Store,2,28.94,0.0
SO-100131,2025-12-14,P-0021,S-005,C-00104,Store,2,100.14,17.12
SO-100132,2026-05-24,P-0013,S-003,C-00377,Store,1,299.27,0.0
SO-100133,2026-04-22,P-0001,S-003,C-00300,Store,2,93.17,43.93
SO-100133,2026-04-22,P-0011,S-003,C-00300,Store,5,329.61,389.72
SO-100133,2026-04-22,P-0015,S-003,C-00300,Store,5,252.84,0.0
SO-100134,2026-02-16,P-0003,S-010,C-00282,Store,3,92.07,0.0
SO-100134,2026-02-16,P-0026,S-010,C-00282,Store,2,7.84,0.0
SO-100134,2026-02-16,P-0023,S-010,C-00282,Store,5,109.7,87.0
SO-100135,2026-03-14,P-0022,S-004,C-00453,Store,3,391.3,0.0
